,Fascicle 1
0,"[273.6672419020079, 174.69442010614094, 0]"
1,"[276.1658510096047, 174.13931244940318, 0]"
2,"[279.2195677739392, 174.5557473006693, 0]"
3,"[280.330199522266, 173.86155040360867, 0]"
4,"[283.10615424080595, 173.44511555234254, 0]"
5,"[286.437633050935, 172.3344838040158, 0]"
6,"[289.4917662501208, 171.77937614727804, 0]"
7,"[292.68415581992696, 171.0851792502174, 0]"
8,"[294.62765727078596, 170.11363674221352, 0]"
9,"[297.12626637838275, 169.69720189094738, 0]"
10,"[299.4862026805079, 168.03146248588288, 0]"
11,"[301.56837693683855, 167.33726558882225, 0]"
12,"[304.89985574696755, 167.33726558882225, 0]"
13,"[307.1207028087698, 166.92083073755612, 0]"
14,"[309.6193119163666, 166.7821579320845, 0]"
15,"[314.0614224748224, 165.39418057281446, 0]"
16,"[317.67024689589465, 165.53285337828612, 0]"
17,"[321.4181605572898, 166.50439588628998, 0]"
18,"[324.61096656194724, 166.22705027534673, 0]"
19,"[328.22020741787077, 165.53285337828612, 0]"
20,"[332.2454666902091, 165.11641852702, 0]"
21,"[335.9933803516043, 164.69998367575386, 0]"
22,"[339.1861863562617, 164.1448760190161, 0]"
23,"[342.9341000176569, 163.5893519274271, 0]"
24,"[347.5148833815843, 164.1448760190161, 0]"
25,"[352.0956667455117, 165.39418057281446, 0]"
26,"[356.260015258173, 166.64348512661286, 0]"
27,"[359.59149406830204, 167.33726558882225, 0]"
28,"[363.20073492422557, 169.9749639367419, 0]"
29,"[365.2829091805562, 173.0286807010764, 0]"
30,"[368.0588638990962, 175.2495277628787, 0]"
31,"[370.557473006693, 177.33170201920933, 0]"
32,"[372.6396472630236, 178.58100657300773, 0]"
33,"[373.0560821142897, 181.91248538313675, 0]"
34,"[372.2232124117575, 184.68885653652802, 0]"
35,"[370.2801273957498, 187.18746564412479, 0]"
36,"[367.6424290478301, 188.8532050491893, 0]"
37,"[365.83801683729394, 190.65761725972544, 0]"
38,"[363.7558425809633, 192.46244590511284, 0]"
39,"[362.2287759813704, 194.9610550127096, 0]"
40,"[361.53499551916104, 197.18190207451187, 0]"
41,"[360.1466017250398, 199.1254035253709, 0]"
42,"[359.7301668737736, 201.4849233926448, 0]"
43,"[357.7870818577659, 203.42842484350382, 0]"
44,"[357.09288496070525, 205.64927190530608, 0]"
45,"[355.14938350984625, 208.9807507154351, 0]"
46,"[354.7329486585801, 212.451318765887, 0]"
47,"[355.56581836111235, 214.67216582768927, 0]"
48,"[356.260015258173, 217.7258825920238, 0]"
49,"[355.56581836111235, 220.22449169962056, 0]"
50,"[354.59427585310846, 221.33512344794732, 0]"
51,"[355.4271455556407, 224.52792945260475, 0]"
52,"[356.8151229149107, 226.8874493198786, 0]"
53,"[358.89729717124135, 228.96962357620927, 0]"
54,"[361.11856066789494, 231.32955987833444, 0]"
55,"[363.6171697754917, 233.8281689859312, 0]"
56,"[363.3394077296972, 236.8818857502657, 0]"
57,"[362.92297287843104, 239.10314924691926, 0]"
58,"[361.2572334733665, 240.21336456039472, 0]"
59,"[358.7586243657698, 241.74043115998765, 0]"
60,"[355.4271455556407, 242.29553881672538, 0]"
61,"[352.65077440224945, 242.5733008625199, 0]"
62,"[350.4299273404472, 241.87910396545925, 0]"
63,"[347.5148833815843, 240.07469175492312, 0]"
64,"[345.0162742739875, 239.7969297091286, 0]"
65,"[343.35053486892303, 239.7969297091286, 0]"
66,"[340.99059856679787, 239.658256903657, 0]"
67,"[337.93688180246335, 239.7969297091286, 0]"
68,"[336.1324695919272, 240.49112660618925, 0]"
69,"[334.4667301868627, 241.87910396545925, 0]"
70,"[333.49477124400755, 243.68393261084668, 0]"
71,"[331.6903590334714, 245.9047796726489, 0]"
72,"[328.7753150746085, 246.87632218065278, 0]"
73,"[326.27670596701176, 246.18254171844345, 0]"
74,"[323.63942405394334, 244.1003674621128, 0]"
75,"[320.4466180492859, 242.98973571378602, 0]"
76,"[318.6422058387498, 240.9075614574554, 0]"
