 ,X,Y
1,383.000,221.000
2,358.500,236.167
3,331.833,230.167
4,298.500,236.167
5,271.500,255.833
6,258.833,283.833
7,262.167,317.833
8,291.500,339.833
9,326.167,343.833
10,338.833,337.833
11,358.167,359.167
12,384.167,360.500
13,396.833,359.833
14,419.500,372.500
15,454.167,384.500
16,479.500,379.833
17,508.167,390.167
18,543.500,392.833
19,561.500,383.500
20,594.833,390.167
21,616.167,382.167
22,648.167,386.167
23,669.500,376.833
24,698.167,374.167
25,723.500,362.167
26,747.500,349.500
27,772.167,346.833
28,801.500,338.833
29,830.167,335.500
30,854.167,316.167
31,879.500,288.833
32,892.833,266.833
33,892.167,244.167
34,882.833,224.167
35,872.833,214.167
36,887.500,204.833
37,902.833,184.167
38,900.833,165.500
39,911.167,147.500
40,918.500,130.167
41,919.833,102.167
42,908.500,74.833
43,909.833,45.500
44,908.500,15.500
45,894.500,-0.500
46,854.500,0.833
47,805.833,1.500
48,767.167,0.833
49,745.167,21.500
50,764.500,38.167
51,765.833,58.167
52,739.833,64.167
53,719.167,82.167
54,725.167,112.167
55,715.833,118.167
56,677.833,123.500
57,651.833,128.167
58,635.833,146.167
59,633.167,174.167
60,625.833,183.500
61,602.500,184.833
62,583.167,179.500
63,551.167,182.833
64,527.167,187.500
65,499.167,200.167
66,475.833,224.167
67,467.167,249.500
68,447.833,250.833
69,431.833,224.833
70,409.833,217.500
71,201.500,353.500
72,180.167,318.833
73,150.833,306.833
74,118.167,303.500
75,87.500,320.167
76,76.167,342.833
77,42.167,344.167
78,24.167,356.167
79,10.833,379.500
80,10.167,404.833
81,5.167,415.500
82,-0.167,438.167
83,-0.167,464.167
84,3.500,483.500
85,23.167,478.500
86,32.167,455.167
87,34.833,438.500
88,64.500,439.500
89,82.167,428.500
90,98.833,406.833
91,120.833,413.167
92,154.167,411.500
93,177.167,403.500
94,191.500,391.500
95,200.167,372.167
96,198.500,333.500
97,6.167,520.833
98,40.833,524.167
99,60.833,548.167
100,87.500,546.833
101,121.500,552.833
102,138.833,579.500
103,146.833,594.833
104,178.833,594.167
105,209.500,603.500
106,224.167,621.500
107,222.833,642.833
108,255.500,626.167
109,281.500,642.833
110,278.833,665.500
111,268.833,676.833
112,265.500,698.167
113,285.500,707.500
114,299.500,690.167
115,325.500,674.833
116,352.167,662.833
117,376.833,679.500
118,400.833,671.500
119,430.167,673.500
120,456.167,695.500
121,468.833,726.833
122,462.167,759.500
123,439.500,787.500
124,411.500,800.167
125,387.500,802.167
126,380.167,838.167
127,354.833,862.167
128,326.833,884.833
129,297.500,900.167
130,255.500,918.833
131,229.500,938.167
132,188.167,948.167
133,160.167,947.500
134,137.500,967.500
135,106.833,984.167
136,70.833,992.167
137,38.833,1001.500
138,2.833,993.500
139,0.167,970.833
140,2.167,937.500
141,0.833,908.833
142,1.500,868.833
143,3.500,846.167
144,-0.500,813.500
145,0.167,780.167
146,2.167,746.833
147,1.500,716.833
148,0.833,698.833
149,4.167,670.167
150,4.167,641.500
151,1.500,618.167
152,0.833,588.833
153,3.500,567.500
154,2.167,538.167
155,492.500,688.000
156,506.000,714.000
157,542.000,704.000
158,552.000,678.500
159,550.500,657.000
160,534.500,645.500
161,511.000,653.500
162,501.000,668.500
163,171.000,434.500
164,177.000,454.500
165,201.000,453.500
166,212.000,436.000
167,212.500,418.500
168,203.000,409.500
169,182.500,421.500
170,68.500,455.500
171,83.500,450.500
172,94.000,458.500
173,91.000,469.000
174,78.000,476.000
175,68.500,474.500
176,65.000,467.000
