,Adipose
0,"[321.6620673750175, 185.60657151404405, 0]"
1,"[301.08577324789496, 198.34455735184272, 0]"
2,"[278.689526901447, 193.3054649125474, 0]"
3,"[250.69484885494185, 198.34455735184272, 0]"
4,"[228.01893287811293, 214.861022670373, 0]"
5,"[217.38056889002067, 238.37678738708448, 0]"
6,"[220.18062458878904, 266.93164454309124, 0]"
7,"[244.81590767576398, 285.4083168205074, 0]"
8,"[273.9309439412724, 288.7677117800376, 0]"
9,"[284.5684680806248, 283.7286193407423, 0]"
10,"[300.80610361751405, 301.6459523573966, 0]"
11,"[322.6421708544604, 302.7654707276601, 0]"
12,"[333.2796949938129, 302.20529161815847, 0]"
13,"[352.31654638073064, 312.8436556062507, 0]"
14,"[381.43158264623906, 322.9218404848413, 0]"
15,"[402.7074707736838, 319.0022664158095, 0]"
16,"[426.7834145998969, 327.68126329375576, 0]"
17,"[456.45779012616714, 329.92030003428266, 0]"
18,"[471.5750674440531, 322.08199174495877, 0]"
19,"[499.56974549055815, 327.68126329375576, 0]"
20,"[517.4870785072126, 320.9624733746953, 0]"
21,"[544.3622381834542, 324.32186833422554, 0]"
22,"[562.2787313513687, 316.48272019616184, 0]"
23,"[586.3546751775818, 314.2436834556349, 0]"
24,"[607.6305633050265, 304.1654985770443, 0]"
25,"[627.7869330622078, 293.527134588952, 0]"
26,"[648.5034819288908, 291.28725799968527, 0]"
27,"[673.1387650158656, 284.5684680806248, 0]"
28,"[697.2147088420787, 281.7692522305963, 0]"
29,"[717.37107859926, 265.5324565424469, 0]"
30,"[738.6469667267047, 242.57603108649724, 0]"
31,"[749.8446699755588, 224.09935880908108, 0]"
32,"[749.285330714797, 205.06334727090314, 0]"
33,"[741.4461825767332, 188.2663724732521, 0]"
34,"[733.0476951779077, 179.86788507442657, 0]"
35,"[745.3657566457651, 172.02873693636283, 0]"
36,"[758.2431573743843, 154.67242287795, 0]"
37,"[756.5634598946192, 138.9949664505624, 0]"
38,"[765.2424567725654, 123.87768913267645, 0]"
39,"[771.4010675821243, 109.32059092429218, 0]"
40,"[772.5205859523877, 85.80482620758072, 0]"
41,"[763.0025801832987, 62.84840075163103, 0]"
42,"[764.1220985535622, 38.213117664656124, 0]"
43,"[763.0025801832987, 13.01765546817956, 0]"
44,"[751.2446978249429, -0.41992436994127613, 0]"
45,"[717.6507482296408, 0.699594000322166, 0]"
46,"[676.7778296057767, 1.2597731098238283, 0]"
47,"[644.304238229478, 0.699594000322166, 0]"
48,"[625.8275659520618, 18.056747907474872, 0]"
49,"[642.0643616402111, 32.05450685509737, 0]"
50,"[643.1838800104746, 48.85148165274842, 0]"
51,"[621.3478127735283, 53.89057409204373, 0]"
52,"[603.9914987151154, 69.00785140992967, 0]"
53,"[609.0305911544108, 94.20331360640624, 0]"
54,"[601.191443016347, 99.24240604570156, 0]"
55,"[569.27719090081, 103.7213193754952, 0]"
56,"[547.4411236638637, 107.64089344452708, 0]"
57,"[534.0035438257428, 122.75817076241302, 0]"
58,"[531.764507085216, 146.27393547912448, 0]"
59,"[525.6050564269173, 154.11224376844834, 0]"
60,"[506.00886577923774, 155.2317621387118, 0]"
61,"[489.7720700910884, 150.75284880891812, 0]"
62,"[462.8969104148467, 153.55206465894668, 0]"
63,"[442.74054065766546, 157.47163872797856, 0]"
64,"[419.2247759409539, 168.11000271607082, 0]"
65,"[399.6277454445345, 188.2663724732521, 0]"
66,"[392.34961626471227, 209.54226060069678, 0]"
67,"[376.11198072782304, 210.66177897096023, 0]"
68,"[362.6744008897022, 188.82571173401388, 0]"
69,"[344.197728612286, 182.6671009244551, 0]"
70,"[169.22952108633427, 296.8865295484822, 0]"
71,"[151.31302791841978, 267.7714932829738, 0]"
72,"[126.676904982705, 257.6933084043832, 0]"
73,"[99.24240604570156, 254.89409255435461, 0]"
74,"[73.48676473972333, 268.8918515019771, 0]"
75,"[63.968758970634354, 287.92786304015505, 0]"
76,"[35.41390181462758, 289.0482212591583, 0]"
77,"[20.296624496741643, 299.126406137749, 0]"
78,"[9.098081399147688, 318.72259678542855, 0]"
79,"[8.538742138385908, 339.99848491287327, 0]"
80,"[4.3394984389731475, 348.9571514212005, 0]"
