 ,X,Y
1,288.167,346.833
2,313.500,349.500
3,344.833,352.167
4,370.833,364.167
5,395.500,363.500
6,422.833,373.500
7,452.167,385.500
8,477.500,387.500
9,498.167,388.167
10,523.500,389.500
11,552.833,389.500
12,568.833,381.500
13,584.833,386.833
14,605.500,385.500
15,616.167,380.167
16,625.500,386.167
17,655.167,385.833
18,690.500,375.833
19,715.167,369.833
20,733.833,356.500
21,761.167,345.833
22,782.500,343.167
23,805.833,337.167
24,821.833,334.500
25,841.833,327.833
26,856.500,316.500
27,878.500,304.500
28,894.500,301.833
29,918.500,307.167
30,931.167,313.167
31,943.833,329.167
32,947.833,345.833
33,949.167,365.167
34,955.833,383.833
35,969.833,410.500
36,957.167,432.500
37,943.167,459.167
38,921.833,483.833
39,903.167,503.833
40,881.833,525.833
41,865.167,541.167
42,843.833,557.167
43,817.167,571.167
44,796.500,578.500
45,779.833,585.833
46,760.500,590.500
47,739.167,599.833
48,720.500,607.167
49,704.500,620.500
50,701.833,639.833
51,678.500,645.833
52,654.500,649.167
53,626.500,659.167
54,601.167,669.167
55,580.833,686.167
56,558.833,686.167
57,552.167,668.167
58,544.833,647.500
59,520.167,649.500
60,502.833,662.833
61,492.833,678.167
62,472.167,689.500
63,453.500,686.833
64,432.833,674.833
65,404.167,668.833
66,380.833,680.833
67,365.500,665.500
68,340.167,662.833
69,326.167,672.833
70,310.167,680.167
71,286.833,672.833
72,287.500,652.833
73,274.167,636.833
74,253.500,622.833
75,235.500,625.500
76,222.833,620.167
77,207.500,602.167
78,184.167,594.833
79,158.833,593.833
80,144.833,579.833
81,138.833,563.833
82,120.167,550.500
83,100.833,542.500
84,83.500,526.500
85,74.167,505.833
86,80.167,478.500
87,108.167,459.167
88,133.500,451.167
89,160.833,451.833
90,185.500,461.167
91,207.500,449.833
92,219.500,431.833
93,214.833,414.500
94,202.833,402.500
95,197.500,386.500
96,214.833,371.833
97,238.167,373.167
98,266.833,386.500
99,303.500,379.833
100,277.500,354.500
