,Epinerium
0,"[242.01669182573542, 291.28725799968527, 0]"
1,"[263.2925799531801, 293.527134588952, 0]"
2,"[289.6075605199202, 295.76701117821875, 0]"
3,"[311.44362775686653, 305.84519605680936, 0]"
4,"[332.16017662354943, 305.2850169473077, 0]"
5,"[355.11576223075923, 313.68350434613325, 0]"
6,"[379.751885166474, 323.7616892247239, 0]"
7,"[401.0277732939187, 325.441386704489, 0]"
8,"[418.3849272010714, 326.0015658139906, 0]"
9,"[439.6608153285161, 327.1210841842541, 0]"
10,"[464.296098415491, 327.1210841842541, 0]"
11,"[477.7336782536118, 320.4022942651937, 0]"
12,"[491.1712580917326, 324.88120759498736, 0]"
13,"[508.52841199888536, 323.7616892247239, 0]"
14,"[517.4870785072126, 319.28277589493024, 0]"
15,"[525.3253867965365, 324.32186833422554, 0]"
16,"[550.2411793626321, 324.0413588551048, 0]"
17,"[579.9155548889023, 315.6428714562793, 0]"
18,"[600.6321037555853, 310.603779016984, 0]"
19,"[616.3087203342329, 299.4060757681299, 0]"
20,"[639.2651457901827, 290.4474092598027, 0]"
21,"[657.1816389580971, 288.20837251927577, 0]"
22,"[676.7778296057767, 283.16928007998047, 0]"
23,"[690.2154094438976, 280.9294034907137, 0]"
24,"[707.0123842415486, 275.33013194191676, 0]"
25,"[719.330445709406, 265.8121261728278, 0]"
26,"[737.8071179868222, 255.73394129423716, 0]"
27,"[751.2446978249429, 253.4940647049704, 0]"
28,"[771.4010675821243, 257.9738178835039, 0]"
29,"[782.0394315702165, 263.0129103227992, 0]"
30,"[792.6769557095689, 276.45049016092, 0]"
31,"[796.0363506690991, 290.4474092598027, 0]"
32,"[797.1567088881025, 306.68504479669195, 0]"
33,"[802.7551405881595, 322.3616613753397, 0]"
34,"[814.5130229465152, 344.7579077217877, 0]"
35,"[803.8754988071629, 363.23457999920385, 0]"
36,"[792.1176164488072, 385.6308263456518, 0]"
37,"[774.2002834321528, 406.3465353635949, 0]"
38,"[758.5236668535051, 423.14351016124596, 0]"
39,"[740.6063338368507, 441.6201824386621, 0]"
40,"[726.6094147379681, 454.49842301602115, 0]"
41,"[708.6920817213137, 467.93600285414203, 0]"
42,"[686.2966752236056, 479.6938852124977, 0]"
43,"[668.9395213164529, 485.85249602205647, 0]"
44,"[654.9417623688304, 492.0111068316152, 0]"
45,"[638.704966680681, 495.9306809006471, 0]"
46,"[620.7884735127665, 503.7689891899709, 0]"
47,"[605.1110170853789, 509.92843984826965, 0]"
48,"[591.6734372472581, 521.1261430971236, 0]"
49,"[589.4335606579913, 537.3629387852731, 0]"
50,"[569.8373700103117, 542.4020312245683, 0]"
51,"[549.6810002531305, 545.2020869233368, 0]"
52,"[526.165235536419, 553.6005743221623, 0]"
53,"[504.8893474089743, 561.9990617209878, 0]"
54,"[487.81186313220246, 576.2764902989912, 0]"
55,"[469.3351908547863, 576.2764902989912, 0]"
56,"[463.73675915472927, 561.1592129811053, 0]"
57,"[457.57730849643053, 543.8020590739526, 0]"
58,"[436.86159947848756, 545.4817565537177, 0]"
59,"[422.3036614213634, 556.6794598025717, 0]"
60,"[413.9051740225379, 569.5577003799308, 0]"
61,"[396.54885996412503, 579.0757061490198, 0]"
62,"[380.87140353673743, 576.8358295597529, 0]"
63,"[363.51424962958475, 566.7576446811623, 0]"
64,"[339.43914565211145, 561.7185522418671, 0]"
65,"[319.84211515569206, 571.7967371204577, 0]"
66,"[306.96471442707286, 558.9193363918386, 0]"
67,"[285.68882629962815, 556.6794598025717, 0]"
68,"[273.9309439412724, 565.0779472013973, 0]"
69,"[260.4933641031516, 571.237397859696, 0]"
70,"[240.89633360673213, 565.0779472013973, 0]"
71,"[241.45651271623376, 548.2809724037462, 0]"
72,"[230.25880946737968, 534.8433925656253, 0]"
73,"[212.901655560227, 523.0855102072696, 0]"
74,"[197.78437824234106, 525.3253867965365, 0]"
75,"[187.14601425424877, 520.8464734667429, 0]"
76,"[174.2686135256296, 505.7291961488569, 0]"
77,"[154.67242287795, 499.56974549055815, 0]"
78,"[133.3956949017654, 498.7298967506756, 0]"
79,"[121.6378125434097, 486.97201439231986, 0]"
80,"[116.59872010411438, 473.53443455419904, 0]"
81,"[100.92210352546665, 462.336731305345, 0]"
82,"[84.6844679885774, 455.6179413862846, 0]"
83,"[70.1273697801931, 442.1803615481638, 0]"
84,"[62.28906149086925, 424.8232076410111, 0]"
85,"[67.32815393016456, 401.86762203380124, 0]"
86,"[90.84391864687603, 385.6308263456518, 0]"
87,"[112.11980677432072, 378.91203642659144, 0]"
88,"[135.07539238153052, 379.47137568735326, 0]"
89,"[155.79194124821345, 387.31052382541696, 0]"
90,"[174.2686135256296, 377.7916782075881, 0]"
91,"[184.3467984042202, 362.6744008897022, 0]"
92,"[180.42722433518836, 348.1173026813179, 0]"
93,"[170.34903945659772, 338.0391178027273, 0]"
94,"[165.87012612680408, 324.60153796460645, 0]"
95,"[180.42722433518836, 312.2834764967491, 0]"
96,"[200.02425483160783, 313.40383471575234, 0]"
97,"[224.09935880908108, 324.60153796460645, 0]"
98,"[254.89409255435461, 319.0022664158095, 0]"
99,"[233.05802531740824, 297.72637828836474, 0]"
