 ,X,Y
1,341.250,474.000
2,336.375,475.500
3,331.625,477.875
4,325.750,480.750
5,321.625,482.500
6,317.500,483.875
7,313.500,483.625
8,309.375,485.250
9,304.750,486.625
10,300.750,488.750
11,295.625,490.625
12,290.375,491.375
13,284.750,492.000
14,279.375,491.125
15,272.375,490.750
16,265.375,489.500
17,258.250,488.125
18,253.500,485.750
19,248.250,483.875
20,245.000,479.750
21,243.625,475.625
22,250.000,472.375
23,256.875,470.375
24,263.500,468.875
25,269.375,466.125
26,273.625,463.500
27,271.750,458.125
28,269.500,454.250
29,270.125,449.375
30,272.375,445.125
31,276.375,440.625
32,280.125,438.625
33,284.250,438.375
34,284.000,435.250
35,283.625,430.125
36,283.000,426.125
37,283.375,421.125
38,288.250,416.000
39,294.875,414.000
40,300.875,414.125
41,306.375,415.000
42,313.125,414.125
43,317.875,413.375
44,322.375,410.875
45,326.375,408.375
46,330.000,406.875
47,334.500,404.500
48,339.250,403.625
49,345.750,404.125
50,351.875,406.000
51,357.000,407.500
52,361.375,407.875
53,367.000,407.000
54,371.250,404.125
55,375.625,400.250
56,381.375,399.125
57,387.500,400.250
58,397.000,401.000
59,405.750,401.250
60,412.250,404.375
61,419.000,406.375
62,426.875,409.125
63,434.000,411.125
64,438.875,413.500
65,445.000,416.250
66,451.250,417.875
67,460.125,418.250
68,468.250,419.875
69,475.375,421.875
70,482.000,423.875
71,488.875,425.250
72,497.625,427.125
73,504.000,428.000
74,511.875,429.250
75,518.375,430.250
76,526.625,430.375
77,534.250,430.625
78,542.500,431.375
79,549.625,432.625
80,557.625,433.000
81,564.875,431.500
82,572.500,427.500
83,581.375,423.875
84,591.875,420.875
85,600.625,421.875
86,606.000,423.875
87,613.125,424.875
88,620.875,427.375
89,630.625,427.125
90,638.375,424.000
91,644.500,420.875
92,650.250,417.375
93,657.500,414.000
94,667.500,411.833
95,675.833,411.833
96,685.500,410.000
97,693.333,407.167
98,702.333,403.167
99,709.333,398.167
100,716.500,392.833
101,723.000,388.000
102,731.000,382.667
103,741.333,377.833
104,753.500,374.667
105,764.000,376.667
106,770.333,383.000
107,775.667,388.167
108,782.500,393.500
109,786.333,400.167
110,791.500,405.833
111,797.500,410.667
112,809.167,413.833
113,820.167,411.167
114,830.333,414.500
115,840.500,412.667
116,849.333,411.500
117,858.833,411.833
118,867.167,419.000
119,874.667,423.833
120,882.833,429.000
121,889.333,435.333
122,898.333,437.167
123,904.500,443.667
124,904.333,452.833
125,904.000,462.833
126,901.833,470.833
127,897.333,478.833
128,892.333,485.500
129,892.000,493.333
130,886.167,499.833
131,880.667,503.667
132,873.833,508.500
133,872.833,515.167
134,864.500,517.667
135,857.167,525.833
136,848.833,531.500
137,838.667,534.833
138,831.000,541.667
139,826.000,545.333
140,817.167,545.833
141,810.333,546.500
142,803.500,551.167
143,796.167,554.667
144,787.667,556.333
145,778.500,556.333
146,769.333,557.333
147,760.667,562.667
148,748.333,569.333
149,740.000,571.167
150,732.167,574.167
151,723.167,579.667
152,712.667,578.833
153,703.000,582.000
154,696.833,582.667
155,687.000,581.333
156,675.667,581.167
157,666.333,581.667
158,659.000,579.833
159,645.500,580.500
160,634.667,584.333
161,624.167,587.000
162,615.333,589.333
163,605.667,589.167
164,593.167,593.833
165,584.833,595.000
166,571.000,595.333
167,560.833,593.833
168,544.500,595.167
169,529.667,596.000
170,517.000,596.333
171,504.000,596.167
172,487.167,596.333
173,469.000,595.667
174,455.667,593.167
175,443.000,590.667
176,430.500,588.333
177,415.333,584.667
178,403.167,583.167
179,393.333,583.667
180,383.333,582.167
181,375.167,580.167
182,361.667,579.167
183,347.500,575.833
184,336.833,572.167
185,325.167,568.667
186,316.833,564.000
187,309.667,559.667
188,303.833,555.167
189,301.500,546.333
190,305.667,538.667
191,309.000,530.833
192,314.333,523.000
193,321.167,516.167
194,328.167,510.000
195,333.833,502.667
196,341.667,496.500
197,345.667,490.833
198,348.833,483.333
199,349.333,477.000
200,345.000,474.500
