 ,Area,Mean,Min,Max,X,Y
1,0,135,135,135,657.167,419.500
2,0,136,136,136,663.167,418.167
3,0,120,120,120,670.500,419.167
4,0,127,127,127,673.167,417.500
5,0,114,114,114,679.833,416.500
6,0,141,141,141,687.833,413.833
7,0,129,129,129,695.167,412.500
8,0,124,124,124,702.833,410.833
9,0,125,125,125,707.500,408.500
10,0,121,121,121,713.500,407.500
11,0,121,121,121,719.167,403.500
12,0,111,111,111,724.167,401.833
13,0,131,131,131,732.167,401.833
14,0,129,129,129,737.500,400.833
15,0,142,142,142,743.500,400.500
16,0,137,137,137,754.167,397.167
17,0,121,121,121,762.833,397.500
18,0,127,127,127,771.833,399.833
19,0,127,127,127,779.500,399.167
20,0,119,119,119,788.167,397.500
21,0,127,127,127,797.833,396.500
22,0,125,125,125,806.833,395.500
23,0,127,127,127,814.500,394.167
24,0,129,129,129,823.500,392.833
25,0,125,125,125,834.500,394.167
26,0,121,121,121,845.500,397.167
27,0,130,130,130,855.500,400.167
28,0,129,129,129,863.500,401.833
29,0,133,133,133,872.167,408.167
30,0,131,131,131,877.167,415.500
31,0,129,129,129,883.833,420.833
32,0,146,146,146,889.833,425.833
33,0,147,147,147,894.833,428.833
34,0,145,145,145,895.833,436.833
35,0,168,168,168,893.833,443.500
36,0,165,165,165,889.167,449.500
37,0,151,151,151,882.833,453.500
38,0,168,168,168,878.500,457.833
39,0,167,167,167,873.500,462.167
40,0,181,181,181,869.833,468.167
41,0,190,190,190,868.167,473.500
42,0,183,183,183,864.833,478.167
43,0,200,200,200,863.833,483.833
44,0,172,172,172,859.167,488.500
45,0,192,192,192,857.500,493.833
46,0,165,165,165,852.833,501.833
47,0,184,184,184,851.833,510.167
48,0,192,192,192,853.833,515.500
49,0,191,191,191,855.500,522.833
50,0,190,190,190,853.833,528.833
51,0,174,174,174,851.500,531.500
52,0,189,189,189,853.500,539.167
53,0,179,179,179,856.833,544.833
54,0,190,190,190,861.833,549.833
55,0,187,187,187,867.167,555.500
56,0,191,191,191,873.167,561.500
57,0,148,148,148,872.500,568.833
58,0,161,161,161,871.500,574.167
59,0,149,149,149,867.500,576.833
60,0,163,163,163,861.500,580.500
61,0,146,146,146,853.500,581.833
62,0,147,147,147,846.833,582.500
63,0,133,133,133,841.500,580.833
64,0,126,126,126,834.500,576.500
65,0,143,143,143,828.500,575.833
66,0,158,158,158,824.500,575.833
67,0,165,165,165,818.833,575.500
68,0,157,157,157,811.500,575.833
69,0,153,153,153,807.167,577.500
70,0,170,170,170,803.167,580.833
71,0,174,174,174,800.833,585.167
72,0,169,169,169,796.500,590.500
73,0,160,160,160,789.500,592.833
74,0,154,154,154,783.500,591.167
75,0,158,158,158,777.167,586.167
76,0,159,159,159,769.500,583.500
77,0,156,156,156,765.167,578.500
78,0,163,163,163,761.167,579.500
79,0,164,164,164,756.500,578.167
80,0,158,158,158,750.167,573.500
81,0,146,146,146,748.500,571.833
82,0,142,142,142,742.500,568.167
83,0,145,145,145,738.167,563.833
84,0,126,126,126,729.167,561.167
85,0,140,140,140,723.500,562.167
86,0,136,136,136,718.167,562.500
87,0,139,139,139,710.167,566.833
88,0,143,143,143,707.500,570.167
89,0,144,144,144,701.167,574.833
90,0,150,150,150,695.500,577.500
91,0,154,154,154,688.833,580.500
92,0,144,144,144,681.500,581.500
93,0,145,145,145,671.167,582.500
94,0,141,141,141,663.833,581.167
95,0,130,130,130,655.833,580.833
96,0,136,136,136,650.500,579.833
97,0,137,137,137,644.500,577.833
98,0,138,138,138,641.167,575.833
99,0,144,144,144,634.500,573.500
100,0,140,140,140,630.833,569.500
101,0,139,139,139,626.167,565.500
102,0,143,143,143,617.500,564.500
103,0,148,148,148,608.833,563.500
104,0,147,147,147,605.833,560.833
105,0,153,153,153,602.833,553.833
106,0,148,148,148,604.167,549.500
107,0,146,146,146,606.833,544.500
108,0,146,146,146,610.833,538.833
109,0,158,158,158,614.167,536.500
110,0,161,161,161,619.500,535.500
111,0,161,161,161,624.500,534.833
112,0,160,160,160,629.500,532.167
113,0,166,166,166,636.167,528.167
114,0,141,141,141,639.167,525.167
115,0,147,147,147,642.500,520.167
116,0,161,161,161,643.167,515.833
117,0,149,149,149,643.500,509.833
118,0,152,152,152,642.167,504.833
119,0,153,153,153,641.167,499.167
120,0,159,159,159,640.833,492.833
121,0,176,176,176,638.167,490.167
122,0,169,169,169,637.500,484.167
123,0,174,174,174,635.167,478.833
124,0,174,174,174,633.167,476.167
125,0,154,154,154,633.833,470.500
126,0,158,158,158,634.167,465.167
127,0,167,167,167,634.167,457.833
128,0,154,154,154,636.500,452.500
129,0,154,154,154,637.500,446.833
130,0,139,139,139,642.500,441.500
131,0,131,131,131,648.167,433.500
132,0,136,136,136,650.833,427.833
133,0,137,137,137,653.167,423.500
